"","Season","SUMGROUP","All_Bio_SUM","All_Den_SUM","All_Bio_MEAN","All_Den_MEAN","All_Bio_SD","All_Den_SD","N","All_Bio_SE","All_Den_SE"
"1","Early Fall","BOSMINID",410150.5732,247843.152801,102537.6433,61960.78820025,20728.2965480136,6294.88618425246,4,10364.1482740068,3147.44309212623
"2","Early Fall","CALANOID",987838.995103,202017.250346,246959.74877575,50504.3125865,81420.2543281825,12828.2303193504,4,40710.1271640913,6414.11515967518
"3","Early Fall","CYCLOPOID",952634.03813,575193.63555,238158.5095325,143798.4088875,123580.44964485,85527.5809857772,4,61790.2248224249,42763.7904928886
"4","Early Fall","DAPHNID",1715323.904279,355344.599537,428830.97606975,88836.14988425,351204.387582706,55268.2065273246,4,175602.193791353,27634.1032636623
"5","Early Fall","LIMNO",506.951889,1040.706652,126.73797225,260.176663,253.4759445,520.353326,4,126.73797225,260.176663
"6","Early Fall","NDAP",56684.999577,21261.93195,14171.24989425,5315.4829875,16582.0122612977,6365.09170401055,4,8291.00613064886,3182.54585200527
"7","Early Spring","BOSMINID",1645.4803172,1249.535803281,205.68503965,156.191975410125,377.633202284842,228.596565930706,8,133.513499068402,80.8210909627799
"8","Early Spring","CALANOID",266218.72682805,31609.859437521,33277.3408535062,3951.23242969013,16071.9718376409,1695.32561104573,8,5682.30013671754,599.38811794483
"9","Early Spring","CYCLOPOID",273510.349798276,75812.93308924,34188.7937247845,9476.616636155,17636.8843566979,6270.15104176674,8,6235.580263812,2216.83316034858
"10","Early Spring","DAPHNID",1210.06776509,1238.631179281,151.25847063625,154.828897410125,237.327523736457,313.882050518268,8,83.90795069813,110.974063207103
"11","Early Spring","LIMNO",95395.35453792,1904.67357671,11924.41931724,238.08419708875,8833.62105673461,167.260435072206,8,3123.15667582466,59.1354939318844
"12","Early Spring","NDAP",0,0,0,0,0,0,8,0,0
"13","Early Summer","BOSMINID",160339.753253,115342.8321095,22905.6790361429,16477.5474442143,28174.5445617999,19852.7874810106,7,10648.9768875757,7503.64835802437
"14","Early Summer","CALANOID",1034207.01028,267848.6205235,147743.858611429,38264.0886462143,82264.4711279009,20019.3463727516,7,31093.0474772399,7566.60170176624
"15","Early Summer","CYCLOPOID",3984491.28489,1779835.21862,569213.040698571,254262.174088571,358974.344318874,124156.892417055,7,135679.548874316,46926.8944128755
"16","Early Summer","DAPHNID",73349.648792,19134.0230556,10478.521256,2733.43186508571,8831.20819385081,2379.78297837931,7,3337.88295102359,899.473419299465
"17","Early Summer","LIMNO",1615672.46662,32052.588714,230810.352374286,4578.94124485714,179497.155628686,4214.89153188882,7,67843.5478338514,1593.07925664141
"18","Early Summer","NDAP",5152.593013,1408.851242,736.084716142857,201.264463142857,1947.49710278957,532.495717230925,7,736.084716142857,201.264463142857
"19","Late Spring","BOSMINID",2324.1230092,1706.9635475,290.51537615,213.3704434375,539.10734350538,475.643977751228,8,190.60322919006,168.165541049218
"20","Late Spring","CALANOID",521247.4466096,154751.28125754,65155.9308262,19343.9101571925,28877.1803716986,13094.9794959502,8,10209.6250311876,4629.7744005426
"21","Late Spring","CYCLOPOID",2038828.5199132,302555.5833746,254853.56498915,37819.447921825,294174.290764023,36314.3269526419,8,104006.317924992,12839.0534212192
"22","Late Spring","DAPHNID",128.9592883,180.6887275,16.1199110375,22.5860909375,45.5939936269605,63.8831122496091,8,16.1199110375,22.5860909375
"23","Late Spring","LIMNO",908853.61593,48823.6562248,113606.70199125,6102.9570281,145798.437056193,5287.33702213928,8,51547.5317644169,1869.35593138669
"24","Late Spring","NDAP",0,0,0,0,0,0,8,0,0
"25","Late Summer","BOSMINID",550478.604957,360120.8962063,68809.825619625,45015.1120257875,75496.9654741936,41184.2066067557,8,26692.2081229045,14560.8158847124
"26","Late Summer","CALANOID",1312151.8466138,277645.9262271,164018.980826725,34705.7407783875,99546.6857468352,23420.5962991836,8,35195.0682681167,8280.43123129264
"27","Late Summer","CYCLOPOID",4206688.31515,2446884.33675,525836.03939375,305860.54209375,399717.598155407,224248.126001125,8,141321.512107644,79283.6852818853
"28","Late Summer","DAPHNID",2581902.6940772,612740.9289072,322737.83675965,76592.6161134,204040.789195472,36509.2543038506,8,72139.3128393864,12907.9706471585
"29","Late Summer","LIMNO",114677.388342,2479.1505538,14334.67354275,309.893819225,26057.7828968625,540.418061266118,8,9212.81749452914,191.06663789848
"30","Late Summer","NDAP",232880.4617169,98386.2168985,29110.0577146125,12298.2771123125,54174.7397151747,18519.4438775369,8,19153.6629108081,6547.61217480501
"31","Summer","BOSMINID",43517.885206,24596.2293198,10879.4713015,6149.05732995,6048.73355004726,3829.21640627668,4,3024.36677502363,1914.60820313834
"32","Summer","CALANOID",618662.34284,95877.9086136,154665.58571,23969.4771534,147752.133286427,21181.8700173146,4,73876.0666432136,10590.9350086573
"33","Summer","CYCLOPOID",682065.4695,356154.597348,170516.367375,89038.649337,60748.0688284975,42558.2588108065,4,30374.0344142487,21279.1294054032
"34","Summer","DAPHNID",880980.199176,150458.292618,220245.049794,37614.5731545,273789.96936568,52661.9140735727,4,136894.98468284,26330.9570367864
"35","Summer","LIMNO",3798337.614504,58100.0424888,949584.403626,14525.0106222,710182.442977221,10883.347267042,4,355091.221488611,5441.67363352098
"36","Summer","NDAP",6371.0936788,3126.8641158,1592.7734197,781.71602895,2919.18938233867,1014.4908056544,4,1459.59469116933,507.2454028272
